study,Z,dv,wave,estimate,std.error,conf.low,conf.high
MTurk Study,amtrak,climate,w2,-0.016011832314503593,0.0530405329418941,-0.12031053453466652,0.08828686990565933
MTurk Study,amtrak,climate,w3,0.013365626761736858,0.053478475481763564,-0.09179424400296965,0.11852549752644337
MTurk Study,amtrak,flat,w1,-0.09749991876935062,0.050731908711998716,-0.19725895108544428,0.002259113546743033
MTurk Study,amtrak,flat,w2,-0.043259946058533914,0.05108737626493914,-0.1437179684185941,0.05719807630152627
MTurk Study,amtrak,flat,w3,-0.01983596746510822,0.05217299578787643,-0.12242874792556824,0.08275681299535179
MTurk Study,amtrak,vets,w1,-0.0684191937097843,0.049150842872820934,-0.16506922417381273,0.02823083675424412
MTurk Study,amtrak,vets,w2,-0.03579363955090387,0.05191677591248765,-0.13788259022301436,0.0662953111212066
MTurk Study,amtrak,vets,w3,-0.053110851459377904,0.05064494045977139,-0.15269886973510355,0.04647716681634773
MTurk Study,amtrak,wall,w1,-0.1310641192219487,0.04858009287370153,-0.22659182905874048,-0.03553640938515691
MTurk Study,amtrak,wall,w2,-0.08847453166570372,0.04852939771708078,-0.18390255473935183,0.006953491407944379
MTurk Study,amtrak,wall,w3,-0.08605657795612717,0.04837295465497321,-0.1811769719875286,0.009063816075274261
MTurk Study,climate,amtrak,w1,-0.07007977356920307,0.05101828908851064,-0.1704082921082454,0.03024874496983926
MTurk Study,climate,amtrak,w2,0.007274327063554305,0.054623917969562535,-0.10014473509230618,0.11469338921941477
MTurk Study,climate,amtrak,w3,-0.0018161747458687988,0.053878490182810324,-0.10776933777302782,0.10413698828129021
MTurk Study,climate,climate,w1,0.20723642495521297,0.05369611129505919,0.10164191377522047,0.31283093613520546
MTurk Study,climate,climate,w2,0.10875525251191162,0.05332576079025557,0.003889043243860371,0.21362146177996288
MTurk Study,climate,climate,w3,0.06593242899360628,0.051144913165006425,-0.03464509840545793,0.1665099563926705
MTurk Study,climate,flat,w1,-0.01626953089747479,0.05092441244467411,-0.1164134390787453,0.08387437728379571
MTurk Study,climate,flat,w2,0.09644379125628486,0.05269343931443488,-0.007178944778090335,0.20006652729066005
MTurk Study,climate,flat,w3,0.04840152486960009,0.0555363692764408,-0.06081189161475012,0.1576149413539503
MTurk Study,climate,vets,w1,-0.11657282969221823,0.048570151435279284,-0.21208703500522838,-0.02105862437920808
MTurk Study,climate,vets,w2,0.02805961046436914,0.05103360109915008,-0.07229901945964426,0.12841824038838254
MTurk Study,climate,vets,w3,0.03484380091411811,0.052784538028643364,-0.06895808262207731,0.13864568445031353
MTurk Study,climate,wall,w1,-0.05475563764560472,0.04992605700254094,-0.15293625924329654,0.043424983952087104
